symbol,date,entry,sl,tp,exit,exit_reason,hold_days,pnl_pct,risk_pct,win,month
MMM,2026-01-05,162.82,161.16,166.15,161.16,stop,1,-1.02,1.02,False,2026-01
ABBV,2026-02-03,225.66,215.12,246.74,215.12,stop,1,-4.67,4.67,False,2026-02
AMD,2026-01-02,223.47,216.68,237.05,221.08,below_sma,1,-1.07,3.04,False,2026-01
AFL,2026-01-29,109.93,106.65,116.48,116.48,target,5,5.96,2.98,True,2026-01
ABNB,2026-02-25,132.02,122.87,150.33,127.7,below_sma,11,-3.27,6.93,False,2026-02
ALL,2026-02-04,206.08,196.65,224.93,198.93,below_sma,3,-3.47,4.57,False,2026-02
GOOGL,2026-02-20,314.76,305.78,332.71,311.27,below_sma,1,-1.11,2.85,False,2026-02
GOOG,2026-02-20,314.68,306.75,330.53,311.47,below_sma,1,-1.02,2.52,False,2026-02
ACGL,2026-01-26,93.7,90.96,99.18,99.18,target,7,5.85,2.92,True,2026-01
ANET,2026-03-16,135.35,125.94,154.18,131.22,below_sma,4,-3.05,6.96,False,2026-03
BALL,2026-03-12,61.69,58.4,68.27,59.9,below_sma,4,-2.9,5.33,False,2026-03
BDX,2026-01-30,158.95,149.02,178.82,178.82,target,8,12.5,6.25,True,2026-01
BK,2026-02-18,119.49,112.95,132.58,115.54,below_sma,3,-3.31,5.48,False,2026-02
BG,2026-01-02,92.11,90.2,95.94,90.2,stop,1,-2.08,2.08,False,2026-01
CAH,2026-03-12,218.56,207.42,240.85,211.36,below_sma,4,-3.3,5.1,False,2026-03
COR,2026-01-05,340.34,339.35,342.3,342.3,target,1,0.58,0.29,True,2026-01
CB,2026-01-30,308.65,295.74,334.47,334.47,target,6,8.37,4.18,True,2026-01
CSCO,2026-01-26,76.59,73.59,82.6,82.6,target,6,7.84,3.92,True,2026-01
CFG,2026-02-26,63.86,59.38,72.83,60.19,below_sma,1,-5.75,7.02,False,2026-02
CPAY,2026-03-09,325.6,303.83,369.14,317.53,below_sma,4,-2.48,6.69,False,2026-03
CTRA,2026-01-14,25.18,24.83,25.87,24.83,stop,1,-1.38,1.38,False,2026-01
CVS,2026-01-05,79.76,75.95,87.39,75.95,stop,15,-4.78,4.78,False,2026-01
CVS,2026-02-27,79.9,74.33,91.04,76.32,below_sma,7,-4.48,6.97,False,2026-02
DAL,2026-01-29,66.36,64.13,70.81,65.71,below_sma,1,-0.98,3.35,False,2026-01
DAL,2026-02-02,68.89,64.34,77.99,67.26,below_sma,12,-2.37,6.6,False,2026-02
DOV,2026-01-02,195.3,182.53,220.84,206.85,timeout,20,5.91,6.54,True,2026-01
DOV,2026-03-17,213.82,205.06,231.33,211.49,below_sma,2,-1.09,4.1,False,2026-03
EXE,2026-01-26,111.75,105.49,124.28,108.23,below_sma,1,-3.15,5.61,False,2026-01
EXPD,2026-02-20,156.3,147.23,174.44,149.63,below_sma,1,-4.27,5.8,False,2026-02
FDX,2026-03-19,356.11,333.8,400.73,343.97,below_sma,6,-3.41,6.26,False,2026-03
GEHC,2026-01-02,82.75,76.94,94.36,78.79,below_sma,11,-4.78,7.02,False,2026-01
GEHC,2026-02-20,84.19,78.39,95.8,80.12,below_sma,6,-4.83,6.89,False,2026-02
GM,2026-02-25,82.24,78.43,89.85,80.6,below_sma,1,-1.99,4.63,False,2026-02
HCA,2026-01-26,471.68,464.25,486.53,486.53,target,1,3.15,1.57,True,2026-01
IDXX,2026-01-16,715.37,685.08,775.95,685.08,stop,1,-4.23,4.23,False,2026-01
ITW,2026-02-27,288.8,258.31,349.78,263.95,below_sma,9,-8.61,10.56,False,2026-02
IFF,2026-04-08,73.77,70.28,80.74,72.52,below_sma,2,-1.69,4.72,False,2026-04
JNJ,2026-04-08,241.3,232.9,258.09,238.46,timeout,2,-1.18,3.48,False,2026-04
JPM,2026-02-06,320.76,300.64,361.0,300.64,stop,4,-6.27,6.27,False,2026-02
LLY,2026-01-30,1035.42,1007.14,1091.98,1007.14,stop,2,-2.73,2.73,False,2026-01
MCK,2026-01-05,824.23,809.15,854.4,823.27,below_sma,2,-0.12,1.83,False,2026-01
MGM,2026-03-11,36.29,32.84,43.19,36.93,timeout,20,1.76,9.5,True,2026-03
NUE,2026-02-27,176.28,167.25,194.34,171.52,below_sma,4,-2.7,5.12,False,2026-02
NVDA,2026-03-16,183.22,176.2,197.25,181.93,below_sma,1,-0.7,3.83,False,2026-03
PCAR,2026-04-08,124.19,116.77,139.02,127.19,timeout,2,2.42,5.97,True,2026-04
PEP,2026-04-08,154.8,154.39,155.63,154.39,stop,1,-0.27,0.27,False,2026-04
PRU,2026-01-30,109.62,107.39,114.1,107.39,stop,2,-2.04,2.04,False,2026-01
ROST,2026-01-29,186.1,176.37,205.57,205.57,target,20,10.46,5.23,True,2026-01
SLB,2026-03-09,47.19,44.67,52.23,44.67,stop,3,-5.34,5.34,False,2026-03
SLB,2026-03-19,47.82,45.57,52.31,46.63,below_sma,1,-2.49,4.7,False,2026-03
SOLV,2026-02-10,80.46,78.07,85.23,78.07,stop,2,-2.97,2.97,False,2026-02
STE,2026-01-26,262.46,249.51,288.37,249.51,stop,8,-4.94,4.94,False,2026-01
SYF,2026-01-16,79.86,75.64,88.32,75.64,stop,1,-5.29,5.29,False,2026-01
TXN,2026-04-08,208.9,197.15,232.4,214.73,timeout,2,2.79,5.63,True,2026-04
VRT,2026-01-02,175.57,163.52,199.67,163.52,stop,2,-6.86,6.86,False,2026-01
VMC,2026-02-27,309.41,288.88,350.48,295.42,below_sma,3,-4.52,6.64,False,2026-02
WBD,2026-02-10,27.8,27.11,29.19,29.19,target,6,4.99,2.5,True,2026-02
WBD,2026-02-17,28.75,27.37,31.51,27.95,below_sma,11,-2.78,4.8,False,2026-02
WBD,2026-02-24,29.15,27.7,32.04,27.95,below_sma,6,-4.12,4.96,False,2026-02
YUM,2026-03-16,161.78,152.73,179.87,156.25,below_sma,3,-3.42,5.59,False,2026-03
