symbol,date,entry,exit,sl,tp,rr,risk_pct,pnl_pct,win,reason,days,year
A,2017-01-11,45.40745819091797,44.11549202600353,44.11549202600353,49.283356685661296,3.0,2.8452730374871544,-2.8452730374871544,False,stop,7,2017
CI,2017-01-11,128.35974792480468,131.95966236583115,125.95980496412037,131.95966236583115,1.5,1.8697005872045191,2.8045508808067785,True,target,1,2017
ROP,2017-01-11,177.05570526123046,182.5407080699361,173.39903672209337,182.5407080699361,1.500000000000004,2.0652644509489186,3.097896676423386,True,target,16,2017
ROK,2017-01-11,118.2025724029541,126.00018538397916,115.60336807594575,126.00018538397916,3.0,2.19894057647716,6.596821729431481,True,target,9,2017
CI,2017-01-12,130.18652572631837,125.69579987605917,125.69579987605917,143.65870327709595,3.0,3.449455176106106,-3.449455176106106,False,stop,4,2017
CI,2017-01-13,131.66234115600585,125.70817606120337,125.70817606120337,149.52483644041328,3.0,4.522299271397145,-4.522299271397145,False,stop,3,2017
RSG,2017-01-19,48.99003353118896,49.658741794601156,48.856291878506525,49.658741794601156,5.0,0.2729976753277649,1.3649883766388249,True,target,1,2017
CI,2017-01-19,129.7275540161133,136.26640612498727,125.36831927686397,136.26640612498727,1.5000000000000016,3.3602998008486784,5.040449701273023,True,target,10,2017
MA,2017-01-20,103.21957740783691,101.68751961247995,101.68751961247995,107.8157507939078,3.0,1.484270555869028,-1.484270555869028,False,stop,7,2017
PTC,2017-01-24,51.638399848937986,54.849998474121094,48.35186526873683,61.498003589541455,3.0,6.3645166965194955,6.2193999709097465,True,timeout,20,2017
URI,2017-01-24,108.68654937744141,121.80966200765937,104.31217850070209,121.80966200765937,3.0,4.024758262909071,12.07427478872721,True,target,2,2017
WDC,2017-01-24,50.741873245239255,50.21597671508789,47.24349219195595,61.237016405089165,3.0,6.8944657135052285,-1.0364152848864427,False,timeout,20,2017
ROK,2017-01-24,118.51128273010254,121.29652337745293,116.65445563186894,121.29652337745293,1.5,1.566793519957362,2.350190279936043,True,target,1,2017
IP,2017-01-24,35.224141387939454,33.52212044678737,33.52212044678737,40.33020421139571,3.0,4.831972829108753,-4.831972829108753,False,stop,7,2017
RCL,2017-01-25,78.59071403503418,86.96760209518466,75.79841801498402,86.96760209518466,3.0,3.5529592195910182,10.658877658773054,True,target,1,2017
CCL,2017-01-25,49.37212978363037,50.26600646972656,46.94438114724451,56.65537569278794,3.0,4.917245107766836,1.8104884071510365,True,timeout,20,2017
LYB,2017-01-25,55.80716377258301,54.470008850097656,52.18626318888811,66.66986552366771,3.0000000000000018,6.488236167045236,-2.3960273772993146,False,timeout,20,2017
ZTS,2017-01-31,50.59075080871582,49.73618479391432,49.73618479391432,53.154448853120314,3.0,1.689174406666986,-1.689174406666986,False,stop,12,2017
ADSK,2017-02-07,83.655,87.22130518916336,81.27746320722443,87.22130518916336,1.5,2.842073746668546,4.263110620002819,True,target,9,2017
JPM,2017-02-13,68.27042175292969,70.57725369906346,66.73253378884051,70.57725369906346,1.5,2.2526416632590736,3.3789624948886097,True,target,2,2017
PG,2017-02-15,70.82922340393067,71.79591369628906,68.0329825673134,79.21794591378249,3.0,3.9478631873042604,1.364818426492513,True,timeout,20,2017
TMUS,2017-02-17,60.843397521972655,60.679176330566406,56.99397375335918,72.39166882781308,2.9999999999999982,6.3267732003679065,-0.26990799017583234,False,timeout,20,2017
CAG,2017-02-21,28.228091411590576,29.12920619101577,27.627348225307113,29.12920619101577,1.4999999999999971,2.1281750066771963,3.1922625100157886,True,target,3,2017
COF,2017-02-21,78.61643989562988,76.13372863788871,76.13372863788871,86.0645736688534,3.0,3.1580051971790963,-3.1580051971790963,False,stop,18,2017
FISV,2017-02-22,56.34089984893799,57.939998626708984,54.79419324870682,60.98101964963149,3.0,2.7452642829245177,2.8382556580717093,True,timeout,20,2017
EXPD,2017-02-22,50.17952980041504,51.255867288849146,49.4619714747923,51.255867288849146,1.4999999999999951,1.4299821629990737,2.144973244498604,True,target,4,2017
META,2017-02-22,133.709503326416,138.5030975341797,131.01337049710764,141.79790181434112,3.0,2.0164107727829044,3.5850811561698768,True,timeout,20,2017
INTU,2017-02-24,118.31220565795898,111.76790618896484,110.03098011919718,143.1558822742444,3.0,6.999468476399515,-5.531381510977602,False,below_sma,20,2017
LDOS,2017-02-24,46.4792960357666,45.95980453491211,44.709658812357354,49.133751870880474,1.5,3.8073666650361533,-1.1176836681320108,False,timeout,20,2017
CIEN,2017-02-27,26.02710090637207,24.858503943262424,24.858503943262424,29.53289179570101,3.0,4.489923665772338,-4.489923665772338,False,stop,7,2017
PHM,2017-03-01,20.05218858718872,21.474313735961914,19.311594023412535,22.273972278517274,3.0,3.693335321259387,7.092119359388957,True,timeout,20,2017
RJF,2017-03-01,46.66662048339844,44.66307559875179,44.66307559875179,52.67725513733839,3.0,4.293314715942218,-4.293314715942218,False,stop,10,2017
SHW,2017-03-01,96.01363243103027,95.37814331054688,93.96422238207269,102.16186257790302,3.0,2.1344990258854555,-0.6618738447791688,False,timeout,20,2017
PSKY,2017-03-03,55.00305690765381,56.62049865722656,53.54783411204529,59.36872529447937,3.0,2.6457125793057927,2.9406397398754116,True,timeout,20,2017
CI,2017-03-06,137.64655700683593,134.23900390774062,134.23900390774062,142.7578866554789,1.5,2.4755817894711893,-2.4755817894711893,False,stop,14,2017
SWKS,2017-03-06,77.29341613769532,79.80821964424203,76.16576269504502,79.80821964424203,2.2301208965728208,1.4589256097070762,3.253580488752994,True,target,3,2017
RCL,2017-03-10,87.61132919311524,88.62371826171875,85.62341194134203,93.57508094843487,3.0,2.2690184820634225,1.1555458385661241,True,timeout,20,2017
ULTA,2017-03-10,283.55581329345705,284.5,267.3704780323342,332.11181907682567,3.0,5.707989221992206,0.3329809026224388,True,timeout,20,2017
SWK,2017-03-13,101.2958706665039,103.74384307861328,99.14433876819857,107.75046636141991,3.0,2.1240075080541225,2.4166556800413237,True,timeout,20,2017
DIS,2017-03-14,104.02510803222656,105.78690338134766,103.10997221595434,106.77051548104319,3.0,0.8797258984712677,1.6936251088297876,True,timeout,20,2017
EXPE,2017-03-15,122.88167289733886,123.93119049072266,119.02155657644381,134.46202186002398,2.9999999999999964,3.141327937584287,0.8540879763743234,True,timeout,20,2017
MU,2017-03-15,25.219757537841797,28.12113285263385,24.252632432911113,28.12113285263385,3.0,3.8347914466645046,11.504374339993515,True,target,7,2017
WFC,2017-03-16,45.790483474731445,45.11872262165539,45.11872262165539,46.79812475434554,1.5000000000000053,1.467031579709693,-1.467031579709693,False,stop,2,2017
RCL,2017-03-17,88.10684280395508,86.60073535243183,86.60073535243183,92.62516515852482,3.0,1.7094103063872816,-1.7094103063872816,False,stop,17,2017
RVTY,2017-03-17,55.31456188201904,56.439414978027344,53.76598304381412,59.96029839663382,3.0,2.7995861948755985,2.0335569111213636,True,timeout,20,2017
PYPL,2017-03-17,42.422393531799315,42.870792388916016,41.35020342212963,44.03067869630384,1.4999999999999967,2.527415405889305,1.0569862277586624,True,timeout,20,2017
BDX,2017-03-17,121.7629605102539,123.10663604736328,119.73220506937822,124.80909367156742,1.5,1.6677940749516074,1.1035174666241983,True,timeout,20,2017
WYNN,2017-03-17,98.52463806152343,103.53893280029297,91.81116624983538,118.66505349658759,3.0,6.814003018712785,5.089381536868346,True,timeout,20,2017
DIS,2017-03-20,104.39557250976563,105.6905700544915,103.53224081328172,105.6905700544915,1.5000000000000082,0.8269811407980461,1.2404717111970758,True,target,1,2017
COO,2017-03-22,49.386711044311525,50.06285095214844,48.06407330591769,51.37066765190228,1.5,2.6781247635768235,1.3690725572517988,True,timeout,20,2017
BKNG,2017-03-28,69.52383613586426,70.84139251708984,67.64388434163362,75.16369151855616,3.0,2.704039216933905,1.8951146174540807,True,timeout,20,2017
PGR,2017-03-28,30.456071033477784,29.961353654902993,29.961353654902993,31.450783002709883,2.010667124930442,1.6243637533908748,-1.6243637533908748,False,stop,14,2017
MRSH,2017-03-28,63.64777313232422,62.82286484063286,62.82286484063286,64.88513556986126,1.5000000000000087,1.29605208649856,-1.29605208649856,False,stop,5,2017
AMZN,2017-03-29,43.27883960723877,45.91899871826172,41.393932106262895,48.933562110166406,3.0,4.3552634915392,6.100346347043361,True,timeout,20,2017
LH,2017-04-03,117.15056144714356,115.69178804500238,115.69178804500238,119.33872155035533,1.5000000000000049,1.2452124719857627,-1.2452124719857627,False,stop,10,2017
TSLA,2017-04-04,20.044201183319093,20.73466682434082,18.129552858542556,25.7881461576487,3.0,9.552130849544247,3.444715180749321,True,timeout,20,2017
LLY,2017-04-04,74.08536506652833,72.59773703292349,72.59773703292349,76.31680711693558,1.5,2.007991770397503,-2.007991770397503,False,stop,8,2017
SWKS,2017-04-07,82.4517155456543,79.09366472994765,79.09366472994765,92.52586799277424,3.0,4.072748266647361,-4.072748266647361,False,stop,4,2017
BAX,2017-04-07,45.099756202697755,45.89186719073976,44.690742593591985,45.89186719073976,1.936637242398373,0.906908692072495,1.756353148522392,True,target,3,2017
HD,2017-04-10,118.02230255126953,119.3994680809688,117.57112903200004,119.3994680809688,3.0524077120684914,0.3822781876954962,1.166868888277299,True,target,1,2017
ALLE,2017-04-11,66.95141624450683,68.71454911004504,66.52824289175419,68.71454911004504,4.166455316880074,0.6320603453812103,2.633451186602599,True,target,5,2017
ISRG,2017-04-19,88.84700134277344,94.55332946777344,82.857140343846,106.81658433955576,3.0,6.741770581337284,6.422645715396601,True,timeout,20,2017
AON,2017-04-20,110.43298484802246,115.25405636343685,108.825961009551,115.25405636343685,3.0,1.4552027554838296,4.365608266451488,True,target,13,2017
MA,2017-04-20,107.77727691650391,113.4935471519885,105.87185350467571,113.4935471519885,3.0,1.7679268453816523,5.3037805361449575,True,target,8,2017
TTWO,2017-04-20,61.40969879150391,68.5999984741211,57.62672879017807,72.75860879548142,3.0000000000000018,6.160215854778324,11.708736281266328,True,timeout,20,2017
HD,2017-04-24,120.95274696350097,125.4482421875,117.94704151677986,129.96986330366428,2.999999999999995,2.485024542376139,3.7167367727130673,True,timeout,20,2017
GDDY,2017-04-24,37.8675,40.09469986228702,37.125100045904325,40.09469986228702,3.0,1.9605201138064945,5.881560341419483,True,target,7,2017
TMUS,2017-04-24,62.75665077209472,66.21293979248983,61.60455443196302,66.21293979248983,2.999999999999994,1.8358155286451256,5.507446585935366,True,target,6,2017
SNPS,2017-04-24,73.11149848937988,71.82027336675841,71.82027336675841,76.98517385724429,3.0,1.7661040319246522,-1.7661040319246522,False,stop,18,2017
WYNN,2017-04-25,105.70454750061035,110.8039144470089,102.30496953634464,110.8039144470089,1.500000000000002,3.2161132559089505,4.824169883863433,True,target,1,2017
TMUS,2017-04-25,64.1082932281494,61.52283520844872,61.52283520844872,71.86466728725148,3.0000000000000027,4.032954068047838,-4.032954068047838,False,stop,16,2017
ZBH,2017-04-25,111.18253944396973,108.22787137217973,108.22787137217973,120.04654365933972,3.0,2.6574928820356694,-2.6574928820356694,False,stop,2,2017
ROK,2017-04-25,134.29178695678712,134.9860382080078,128.25643187167952,152.3978522121099,3.0,4.494210123996394,0.5169722340831538,True,timeout,20,2017
SPGI,2017-04-25,123.84536544799805,127.48556518554688,120.25807674444779,134.60723155864883,3.000000000000004,2.896586957916111,2.9393104250455986,True,timeout,20,2017
STX,2017-04-25,34.60395629882812,32.72341330169557,32.72341330169557,40.245585290225776,3.0,5.434473968504683,-5.434473968504683,False,stop,1,2017
RVTY,2017-04-26,58.00247623443603,60.952232360839844,56.10670940970461,63.689776708630305,3.0,3.2684239498139034,5.085569303078382,True,timeout,20,2017
WYNN,2017-04-26,111.93664100646973,112.46036529541016,102.64050897678086,139.82503709553632,3.0,8.304815962050856,0.4678756520040281,True,timeout,20,2017
GLW,2017-04-27,22.67566177368164,23.338808059692383,21.759307862428653,25.4247235074406,3.0,4.041134148140043,2.9244848182575196,True,timeout,20,2017
TRMB,2017-04-28,35.07570030212403,35.7599983215332,31.818802858487523,44.84639263303354,3.0,9.285338327056241,1.950917625350273,True,timeout,20,2017
CNC,2017-05-01,37.28835090637207,36.72999954223633,35.6714795308661,39.713657969631015,1.5,4.336130014346288,-1.497388193802703,False,timeout,20,2017
MDT,2017-05-02,66.2729061126709,64.91335603653856,64.91335603653856,70.3515563410679,3.0,2.0514417668978613,-2.0514417668978613,False,stop,12,2017
V,2017-05-02,86.0512589263916,87.63955002297125,84.9923981953385,87.63955002297125,1.5,1.2304999883370134,1.84574998250552,True,target,9,2017
SWK,2017-05-04,107.093056640625,105.59084696025394,105.59084696025394,109.64658077968697,1.6998453494396637,1.402714356554466,-1.402714356554466,False,stop,9,2017
FISV,2017-05-04,59.52375,61.45500183105469,58.25520758629587,61.45500183105469,1.5224180210226081,2.1311533861763285,3.2445063206781963,True,target,13,2017
IQV,2017-05-08,82.80359939575196,85.58999633789062,81.03718086308551,85.58999633789062,1.577427371039034,2.1332629807842283,3.3650674155133586,True,target,14,2017
BF-B,2017-05-08,33.037341270446774,36.56076594511008,31.86286637889234,36.56076594511008,2.999999999999997,3.5549921585398594,10.664976475619568,True,target,10,2017
RSG,2017-05-10,54.65607501983642,54.30489605820914,54.30489605820914,55.555322433133355,2.560652862375426,0.6425250285532388,-0.6425250285532388,False,stop,3,2017
SYY,2017-05-11,43.16707637786865,42.883834301517815,42.883834301517815,44.46709170501603,4.589767678221341,0.6561530224364548,-0.6561530224364548,False,stop,1,2017
MCO,2017-05-15,105.90289947509766,104.3891968580675,104.3891968580675,110.54724809307329,3.0682041278938588,1.4293306647247037,-1.4293306647247037,False,stop,2,2017
ABBV,2017-05-15,45.77495052337647,47.6707971812919,44.51105275143284,47.6707971812919,1.4999999999999971,2.7611122622583175,4.1416683933874685,True,target,16,2017
DPZ,2017-05-18,174.00280242919922,178.73020059188755,171.2285339450463,178.73020059188755,1.7040160999888883,1.594381495827774,2.7168517384148934,True,target,2,2017
HSIC,2017-05-18,68.7370598602295,71.56078338623047,67.896082666564,71.56078338623047,3.357669562587607,1.2234698361779583,4.108007429678776,True,target,4,2017
SYK,2017-05-19,122.81309829711914,128.19757080078125,119.27709619984134,133.42110458895255,3.0,2.87917343207418,4.3842819522682905,True,timeout,20,2017
ADBE,2017-05-19,135.06569274902344,142.8203973062527,129.89588971087062,142.8203973062527,1.5000000000000027,3.8276211619180405,5.7414317428770705,True,target,4,2017
SYK,2017-05-22,124.45592033386231,127.83484649658203,119.24055450598291,140.1020178175005,3.0,4.19053253062513,2.7149581584029914,True,timeout,20,2017
V,2017-05-22,86.92124015808105,89.02114735540066,85.52130202653464,89.02114735540066,1.5,1.610582326023399,2.415873489035098,True,target,2,2017
BLK,2017-05-25,321.94326873779295,339.4810791015625,311.98001168875516,351.8330398849063,3.0,3.0947244488445507,5.447484717580239,True,timeout,20,2017
LUV,2017-05-25,53.96958126068115,52.12552378753055,52.12552378753055,59.50175368013297,3.0,3.41684599004675,-3.41684599004675,False,stop,11,2017
GLW,2017-05-25,23.10541997909546,23.634188990604514,22.75290730475609,23.634188990604514,1.500000000000005,1.5256709233517665,2.2885063850276572,True,target,5,2017
IQV,2017-05-31,85.57560241699218,90.31386208030483,83.9961825292213,90.31386208030483,3.0,1.8456427336318315,5.5369282008954945,True,target,15,2017
MDT,2017-06-01,67.31293029785157,70.07024383544922,65.66680398952981,72.25130922281683,3.0,2.445483061037226,4.096261335521831,True,timeout,20,2017
WYNN,2017-06-01,119.94634162902832,120.40514373779297,112.14345478732096,143.3550021541504,3.0,6.505314572944823,0.38250612943547146,True,timeout,20,2017
AVY,2017-06-01,72.28634490966797,76.0115371334634,71.04461416840283,76.0115371334634,3.0,1.7177943397426751,5.153383019228026,True,target,13,2017
VRTX,2017-06-01,125.88840362548828,127.23999786376953,117.7157440780626,150.4063822677653,2.9999999999999982,6.4919875954094515,1.0736447515071972,True,timeout,20,2017
AOS,2017-06-02,47.79126583099365,48.3426628112793,45.94374410670208,53.333831003868376,3.0,3.8658145838301223,1.153760986862274,True,timeout,20,2017
ICE,2017-06-07,56.170875778198244,59.01717758178711,53.329706310380125,64.6943841816526,2.9999999999999973,5.058082909436975,5.067219914512368,True,timeout,20,2017
ABBV,2017-06-07,47.20306812286377,50.57262079588047,46.07988389852487,50.57262079588047,3.0,2.3794729220045387,7.138418766013617,True,target,11,2017
DAL,2017-06-07,46.761476097106936,49.131492614746094,45.18297513722598,51.4969789767498,3.0,3.3756439950761408,5.068309889785081,True,timeout,20,2017
XYL,2017-06-07,47.66074447631836,48.743507406010465,46.938902523190286,48.743507406010465,1.5000000000000049,1.5145419171677827,2.2718128757516816,True,target,7,2017
SHW,2017-06-08,105.5995140838623,108.7347916846787,103.50932901665138,108.7347916846787,1.5000000000000033,1.9793510276486646,2.9690265414730037,True,target,1,2017
